Japanese	English
1年	1
1	1 (number)
10年	10
10	10 (number)
100年	100
Category:100年	100
100	100 (number)
1000年	1000
Category:1000年	1000
1000	1000 (number)
101年	101
105年	105
11年	11
11	11 (number)
110年	110
115年	115
12年	12
Category:12年	12
12	12 (number)
120年	120
125年	125
13年	13
13	13 (number)
130年	130
135年	135
14年	14
Category:14年	14
14	14 (number)
140年	140
144年	144
145年	145
15年	15
15	15 (number)
150年	150
1530年代	1530s
155年	155
16年	16
Category:16年	16
16	16 (number)
160年	160
165年	165
17年	17
Category:17年	17
17	17 (number)
170年	170
1728年	1728
Category:1728年	1728
175年	175
1750年代	1750s
Category:1750年代	1750s
1760年代	1760s
Category:1760年代	1760s
1770年代	1770s
Category:1770年代	1770s
1780年代	1780s
Category:1780年代	1780s
1790年代	1790s
Category:1790年代	1790s
18年	18
18	18 (number)
180年	180
1820年代	1820s
Category:1820年代	1820s
1830年代	1830s
Category:1830年代	1830s
1840年代	1840s
Category:1840年代	1840s
1850年代	1850s
1860年代	1860s
Category:1860年代	1860s
1870年代	1870s
Category:1870年代	1870s
1880年代	1880s
Category:1880年代	1880s
1890年代	1890s
Category:1890年代	1890s
19年	19
19	19 (number)
190年	190
1900年代	1900s
Category:1900年代	1900s
1920年代	1920s
Category:1920年代	1920s
1930年代	1930s
Category:1930年代	1930s
1940年代	1940s
Category:1940年代	1940s
1950年代	1950s
Category:1950年代	1950s
1960年代	1960s
Category:1960年代	1960s
1970年代	1970s
Category:1970年代	1970s
1980年代	1980s
Category:1980年代	1980s
1990年代	1990s
Category:1990年代	1990s
2年	2
2	2 (number)
20年	20
20	20 (number)
200年	200
21年	21
21	21 (number)
22年	22
22	22 (number)
23年	23
23	23 (number)
24年	24
24 -TWENTY FOUR-	24 (TV series)
24	24 (number)
25年	25
25	25 (number)
26年	26
26	26 (number)
27年	27
27	27 (number)
28年	28
28	28 (number)
29年	29
29	29 (number)
3年	3
3	3 (number)
30年	30
30	30 (number)
300年	300
31年	31
31	31 (number)
32年	32
32	32 (number)
33年	33
33	33 (number)
34年	34
34	34 (number)
35年	35
35	35 (number)
36年	36
36	36 (number)
37年	37
37	37 (number)
38年	38
38	38 (number)
39年	39
39	39 (number)
4年	4
4	4 (number)
40年	40
40	40 (number)
400年	400
41年	41
41	41 (number)
42年	42
42	42 (number)
43年	43
43	43 (number)
44年	44
45年	45
45	45 (number)
46年	46
46	46 (number)
47年	47
48年	48
